Valuador,Muestra,NombreProducto,CodigoProducto
V1,2,143_2,897
V1,3,138_1,589
V1,7,141_2,290
V1,5,137_2,939
V1,8,138_2,891
V1,4,145_1,220
V1,1,143_1,364
V1,6,135_2,966
V2,3,138_1,589
V2,5,137_2,939
V2,2,143_2,897
V2,4,145_1,220
V2,7,141_2,290
V2,6,135_2,966
V2,8,138_2,891
V2,1,143_1,364
V3,5,137_2,939
V3,4,145_1,220
V3,3,138_1,589
V3,6,135_2,966
V3,2,143_2,897
V3,1,143_1,364
V3,7,141_2,290
V3,8,138_2,891
V4,4,145_1,220
V4,6,135_2,966
V4,5,137_2,939
V4,1,143_1,364
V4,3,138_1,589
V4,8,138_2,891
V4,2,143_2,897
V4,7,141_2,290
V5,6,135_2,966
V5,1,143_1,364
V5,4,145_1,220
V5,8,138_2,891
V5,5,137_2,939
V5,7,141_2,290
V5,3,138_1,589
V5,2,143_2,897
V6,1,143_1,364
V6,8,138_2,891
V6,6,135_2,966
V6,7,141_2,290
V6,4,145_1,220
V6,2,143_2,897
V6,5,137_2,939
V6,3,138_1,589
V7,8,138_2,891
V7,7,141_2,290
V7,1,143_1,364
V7,2,143_2,897
V7,6,135_2,966
V7,3,138_1,589
V7,4,145_1,220
V7,5,137_2,939
V8,7,141_2,290
V8,2,143_2,897
V8,8,138_2,891
V8,3,138_1,589
V8,1,143_1,364
V8,5,137_2,939
V8,6,135_2,966
V8,4,145_1,220
V9,4,145_1,220
V9,1,143_1,364
V9,5,137_2,939
V9,2,143_2,897
V9,7,141_2,290
V9,8,138_2,891
V9,3,138_1,589
V9,6,135_2,966
V10,1,143_1,364
V10,2,143_2,897
V10,4,145_1,220
V10,8,138_2,891
V10,5,137_2,939
V10,6,135_2,966
V10,7,141_2,290
V10,3,138_1,589
V11,2,143_2,897
V11,8,138_2,891
V11,1,143_1,364
V11,6,135_2,966
V11,4,145_1,220
V11,3,138_1,589
V11,5,137_2,939
V11,7,141_2,290
V12,8,138_2,891
V12,6,135_2,966
V12,2,143_2,897
V12,3,138_1,589
V12,1,143_1,364
V12,7,141_2,290
V12,4,145_1,220
V12,5,137_2,939
V13,6,135_2,966
V13,3,138_1,589
V13,8,138_2,891
V13,7,141_2,290
V13,2,143_2,897
V13,5,137_2,939
V13,1,143_1,364
V13,4,145_1,220
V14,3,138_1,589
V14,7,141_2,290
V14,6,135_2,966
V14,5,137_2,939
V14,8,138_2,891
V14,4,145_1,220
V14,2,143_2,897
V14,1,143_1,364
V15,7,141_2,290
V15,5,137_2,939
V15,3,138_1,589
V15,4,145_1,220
V15,6,135_2,966
V15,1,143_1,364
V15,8,138_2,891
V15,2,143_2,897
V16,5,137_2,939
V16,4,145_1,220
V16,7,141_2,290
V16,1,143_1,364
V16,3,138_1,589
V16,2,143_2,897
V16,6,135_2,966
V16,8,138_2,891
V17,6,135_2,966
V17,8,138_2,891
V17,7,141_2,290
V17,1,143_1,364
V17,2,143_2,897
V17,5,137_2,939
V17,3,138_1,589
V17,4,145_1,220
V18,8,138_2,891
V18,1,143_1,364
V18,6,135_2,966
V18,5,137_2,939
V18,7,141_2,290
V18,4,145_1,220
V18,2,143_2,897
V18,3,138_1,589
V19,1,143_1,364
V19,5,137_2,939
V19,8,138_2,891
V19,4,145_1,220
V19,6,135_2,966
V19,3,138_1,589
V19,7,141_2,290
V19,2,143_2,897
V20,5,137_2,939
V20,4,145_1,220
V20,1,143_1,364
V20,3,138_1,589
V20,8,138_2,891
V20,2,143_2,897
V20,6,135_2,966
V20,7,141_2,290
V21,4,145_1,220
V21,3,138_1,589
V21,5,137_2,939
V21,2,143_2,897
V21,1,143_1,364
V21,7,141_2,290
V21,8,138_2,891
V21,6,135_2,966
V22,3,138_1,589
V22,2,143_2,897
V22,4,145_1,220
V22,7,141_2,290
V22,5,137_2,939
V22,6,135_2,966
V22,1,143_1,364
V22,8,138_2,891
V23,2,143_2,897
V23,7,141_2,290
V23,3,138_1,589
V23,6,135_2,966
V23,4,145_1,220
V23,8,138_2,891
V23,5,137_2,939
V23,1,143_1,364
V24,7,141_2,290
V24,6,135_2,966
V24,2,143_2,897
V24,8,138_2,891
V24,3,138_1,589
V24,1,143_1,364
V24,4,145_1,220
V24,5,137_2,939
V25,4,145_1,220
V25,1,143_1,364
V25,7,141_2,290
V25,2,143_2,897
V25,8,138_2,891
V25,5,137_2,939
V25,6,135_2,966
V25,3,138_1,589
V26,1,143_1,364
V26,2,143_2,897
V26,4,145_1,220
V26,5,137_2,939
V26,7,141_2,290
V26,3,138_1,589
V26,8,138_2,891
V26,6,135_2,966
V27,2,143_2,897
V27,5,137_2,939
V27,1,143_1,364
V27,3,138_1,589
V27,4,145_1,220
V27,6,135_2,966
V27,7,141_2,290
V27,8,138_2,891
V28,5,137_2,939
V28,3,138_1,589
V28,2,143_2,897
V28,6,135_2,966
V28,1,143_1,364
V28,8,138_2,891
V28,4,145_1,220
V28,7,141_2,290
V29,3,138_1,589
V29,6,135_2,966
V29,5,137_2,939
V29,8,138_2,891
V29,2,143_2,897
V29,7,141_2,290
V29,1,143_1,364
V29,4,145_1,220
V30,6,135_2,966
V30,8,138_2,891
V30,3,138_1,589
V30,7,141_2,290
V30,5,137_2,939
V30,4,145_1,220
V30,2,143_2,897
V30,1,143_1,364
V31,8,138_2,891
V31,7,141_2,290
V31,6,135_2,966
V31,4,145_1,220
V31,3,138_1,589
V31,1,143_1,364
V31,5,137_2,939
V31,2,143_2,897
V32,7,141_2,290
V32,4,145_1,220
V32,8,138_2,891
V32,1,143_1,364
V32,6,135_2,966
V32,2,143_2,897
V32,3,138_1,589
V32,5,137_2,939
